#,Card,Card type,Type,G.S.,Level,ATK,DFD,picture,card_wiki_url
362,Millennium Shield,Monster,Warrior,"Uranus, Mars",5.0,0.0,3000.0,https://static.wikia.nocookie.net/yugioh/images/5/59/MillenniumShield-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20131215203716,https://yugioh.fandom.com/wiki/Millennium_Shield_(FMR)
363,Fairy's Gift,Monster,Spellcaster,"Jupiter, Mercury",4.0,1400.0,1000.0,https://static.wikia.nocookie.net/yugioh/images/f/fb/FairysGift-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20131221010021,https://yugioh.fandom.com/wiki/Fairy's_Gift_(FMR)
364,Black Luster Soldier,Monster,Warrior,"Moon, Uranus",8.0,3000.0,2500.0,https://static.wikia.nocookie.net/yugioh/images/3/30/BlackLusterSoldier-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20131221010019,https://yugioh.fandom.com/wiki/Black_Luster_Soldier_(FMR)
365,Fiend's Mirror,Monster,Fiend,"Venus, Pluto",6.0,2100.0,1800.0,https://static.wikia.nocookie.net/yugioh/images/0/08/FiendsMirror-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20131221010022,https://yugioh.fandom.com/wiki/Fiend's_Mirror_(FMR)
366,Labyrinth Wall,Monster,Rock,"Uranus, Jupiter",5.0,0.0,3000.0,https://static.wikia.nocookie.net/yugioh/images/c/c9/LabyrinthWall-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20131221010025,https://yugioh.fandom.com/wiki/Labyrinth_Wall_(FMR)
367,Jirai Gumo,Monster,Insect,"Jupiter, Uranus",4.0,2200.0,100.0,https://static.wikia.nocookie.net/yugioh/images/9/91/JiraiGumo-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20161023133219,https://yugioh.fandom.com/wiki/Jirai_Gumo_(FMR)
368,Shadow Ghoul,Monster,Zombie,"Moon, Pluto",5.0,1600.0,1300.0,https://static.wikia.nocookie.net/yugioh/images/f/f0/Back-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20210701203141,https://yugioh.fandom.com/wiki/Shadow_Ghoul_(FMR)
369,Wall Shadow,Monster,Warrior,"Moon, Neptune",7.0,1600.0,3000.0,https://static.wikia.nocookie.net/yugioh/images/9/9c/WallShadow-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20171022041034,https://yugioh.fandom.com/wiki/Wall_Shadow_(FMR)
370,Labyrinth Tank,Monster,Machine,"Moon, Mercury",7.0,2400.0,2400.0,https://static.wikia.nocookie.net/yugioh/images/f/ff/LabyrinthTank-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20140216215327,https://yugioh.fandom.com/wiki/Labyrinth_Tank_(FMR)
371,Sanga of the Thunder,Monster,Thunder,"Pluto, Mars",7.0,2600.0,2200.0,https://static.wikia.nocookie.net/yugioh/images/e/e6/SangaoftheThunder-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20131215203727,https://yugioh.fandom.com/wiki/Sanga_of_the_Thunder_(FMR)
372,Kazejin,Monster,Spellcaster,"Saturn, Mars",7.0,2400.0,2200.0,https://static.wikia.nocookie.net/yugioh/images/8/81/Kazejin-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20131215203540,https://yugioh.fandom.com/wiki/Kazejin_(FMR)
373,Suijin,Monster,Aqua,"Neptune, Saturn",7.0,2500.0,2400.0,https://static.wikia.nocookie.net/yugioh/images/c/c4/Suijin-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20131215203726,https://yugioh.fandom.com/wiki/Suijin_(FMR)
374,Gate Guardian,Monster,Warrior,"Moon, Mars",11.0,3750.0,3400.0,https://static.wikia.nocookie.net/yugioh/images/6/6c/GateGuardian-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20131215203536,https://yugioh.fandom.com/wiki/Gate_Guardian_(FMR)
375,Dungeon Worm,Monster,Insect,"Uranus, Moon",5.0,1800.0,1500.0,https://static.wikia.nocookie.net/yugioh/images/8/88/DungeonWorm-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20131221010020,https://yugioh.fandom.com/wiki/Dungeon_Worm_(FMR)
376,Monster Tamer,Monster,Warrior,"Jupiter, Pluto",5.0,1800.0,1600.0,https://static.wikia.nocookie.net/yugioh/images/e/e9/MonsterTamer-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20131221010027,https://yugioh.fandom.com/wiki/Monster_Tamer_(FMR)
377,Ryu-kishin Powered,Monster,Fiend,"Moon, Jupiter",4.0,1600.0,1200.0,https://static.wikia.nocookie.net/yugioh/images/9/9d/RyukishinPowered-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20131215203718,https://yugioh.fandom.com/wiki/Ryu-kishin_Powered_(FMR)
378,Swordstalker,Monster,Warrior,"Moon, Saturn",6.0,2000.0,1600.0,https://static.wikia.nocookie.net/yugioh/images/5/5e/Swordstalker-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20131221010216,https://yugioh.fandom.com/wiki/Swordstalker_(FMR)
379,La Jinn the Mystical Genie,Monster,Fiend,"Mercury, Saturn",4.0,1800.0,1000.0,https://static.wikia.nocookie.net/yugioh/images/9/9c/LaJinntheMysticalGenie-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20131221010025,https://yugioh.fandom.com/wiki/La_Jinn_the_Mystical_Genie
380,Blue-eyes Ultimate Dragon,Monster,Dragon,"Sun, Venus",12.0,4500.0,3800.0,https://static.wikia.nocookie.net/yugioh/images/6/67/BlueeyesUltimateDragon-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20131215203211,https://yugioh.fandom.com/wiki/Blue-eyes_Ultimate_Dragon_(FMR)
381,Toon Alligator,Monster,Reptile,"Neptune, Mars",4.0,800.0,1600.0,https://static.wikia.nocookie.net/yugioh/images/9/95/ToonAlligator-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20131221010217,https://yugioh.fandom.com/wiki/Toon_Alligator_(FMR)
382,Rude Kaiser,Monster,Beast-Warrior,"Uranus, Sun",5.0,1800.0,1600.0,https://static.wikia.nocookie.net/yugioh/images/d/df/RudeKaiser-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20131221010213,https://yugioh.fandom.com/wiki/Rude_Kaiser_(FMR)
383,Parrot Dragon,Monster,Dragon,"Saturn, Sun",5.0,2000.0,1300.0,https://static.wikia.nocookie.net/yugioh/images/a/a7/ParrotDragon-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20131221010211,https://yugioh.fandom.com/wiki/Parrot_Dragon_(FMR)
384,Dark Rabbit,Monster,Beast,"Moon, Uranus",4.0,1100.0,1500.0,https://static.wikia.nocookie.net/yugioh/images/4/43/DarkRabbit-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20131221010020,https://yugioh.fandom.com/wiki/Dark_Rabbit_(FMR)
385,Bickuribox,Monster,Fiend,"Moon, Neptune",7.0,2300.0,2000.0,https://static.wikia.nocookie.net/yugioh/images/a/a6/Bickuribox-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20131221010019,https://yugioh.fandom.com/wiki/Bickuribox_(FMR)
386,Harpie's Pet Dragon,Monster,Dragon,"Saturn, Moon",7.0,2000.0,2500.0,https://static.wikia.nocookie.net/yugioh/images/6/68/HarpiesPetDragon-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20131215203537,https://yugioh.fandom.com/wiki/Harpie's_Pet_Dragon_(FMR)
387,Mystic Lamp,Monster,Spellcaster,"Mercury, Uranus",1.0,400.0,300.0,https://static.wikia.nocookie.net/yugioh/images/0/06/MysticLamp-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20131221010210,https://yugioh.fandom.com/wiki/Mystic_Lamp_(FMR)
388,Pendulum Machine,Monster,Machine,"Mercury, Neptune",6.0,1750.0,2000.0,https://static.wikia.nocookie.net/yugioh/images/c/c4/PendulumMachine-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20131221010212,https://yugioh.fandom.com/wiki/Pendulum_Machine_(FMR)
389,Giltia the D. Knight,Monster,Warrior,"Sun, Mars",5.0,1850.0,1500.0,https://static.wikia.nocookie.net/yugioh/images/8/8c/GiltiatheDKnight-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20131221010023,https://yugioh.fandom.com/wiki/Giltia_the_D._Knight_(FMR)
390,Launcher Spider,Monster,Machine,"Mars, Pluto",7.0,2200.0,2500.0,https://static.wikia.nocookie.net/yugioh/images/7/78/LauncherSpider-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20131221010026,https://yugioh.fandom.com/wiki/Launcher_Spider_(FMR)
391,Zoa,Monster,Fiend,"Moon, Mercury",7.0,2600.0,1900.0,https://static.wikia.nocookie.net/yugioh/images/7/79/Zoa-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20131215203813,https://yugioh.fandom.com/wiki/Zoa_(FMR)
392,Metalzoa,Monster,Machine,"Moon, Mars",8.0,3000.0,2300.0,https://static.wikia.nocookie.net/yugioh/images/4/44/Metalzoa-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20131215203716,https://yugioh.fandom.com/wiki/Metalzoa_(FMR)
393,Zone Eater,Monster,Aqua,"Neptune, Sun",1.0,250.0,200.0,https://static.wikia.nocookie.net/yugioh/images/d/d1/ZoneEater-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20131221010219,https://yugioh.fandom.com/wiki/Zone_Eater_(FMR)
394,Steel Scorpion,Monster,Machine,"Jupiter, Neptune",1.0,250.0,300.0,https://static.wikia.nocookie.net/yugioh/images/4/4f/SteelScorpion-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20131221010214,https://yugioh.fandom.com/wiki/Steel_Scorpion_(FMR)
395,Dancing Elf,Monster,Fairy,"Jupiter, Sun",1.0,300.0,200.0,https://static.wikia.nocookie.net/yugioh/images/b/b0/DancingElf-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20131215203214,https://yugioh.fandom.com/wiki/Dancing_Elf_(FMR)
396,Ocubeam,Monster,Fairy,"Saturn, Venus",5.0,1550.0,1650.0,https://static.wikia.nocookie.net/yugioh/images/2/24/Ocubeam-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20131221010210,https://yugioh.fandom.com/wiki/Ocubeam_(FMR)
397,Leghul,Monster,Insect,"Jupiter, Moon",1.0,300.0,350.0,https://static.wikia.nocookie.net/yugioh/images/e/e2/Leghul-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20131221010026,https://yugioh.fandom.com/wiki/Leghul_(FMR)
398,Ooguchi,Monster,Aqua,"Neptune, Moon",1.0,300.0,250.0,https://static.wikia.nocookie.net/yugioh/images/5/5f/Ooguchi-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20131221012139,https://yugioh.fandom.com/wiki/Ooguchi_(FMR)
399,Swordsman from a Foreign Land,Monster,Warrior,"Uranus, Venus",1.0,250.0,250.0,https://static.wikia.nocookie.net/yugioh/images/f/f7/SwordsmanfromaForeignLand-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20131221012140,https://yugioh.fandom.com/wiki/Swordsman_from_a_Foreign_Land_(FMR)
400,Emperor of the Land and Sea,Monster,Reptile,"Neptune, Venus",5.0,1800.0,1500.0,https://static.wikia.nocookie.net/yugioh/images/6/60/EmperoroftheLandandSea-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20131221012134,https://yugioh.fandom.com/wiki/Emperor_of_the_Land_and_Sea_(FMR)
401,Ushi Oni,Monster,Fiend,"Jupiter, Venus",6.0,2150.0,1950.0,https://static.wikia.nocookie.net/yugioh/images/9/94/UshiOni-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20131221161932,https://yugioh.fandom.com/wiki/Ushi_Oni_(FMR)
402,Monster Eye,Monster,Fiend,"Moon, Jupiter",1.0,250.0,350.0,https://static.wikia.nocookie.net/yugioh/images/9/99/MonsterEye-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20131221161928,https://yugioh.fandom.com/wiki/Monster_Eye_(FMR)
403,Leogun,Monster,Beast,"Uranus, Mercury",5.0,1750.0,1550.0,https://static.wikia.nocookie.net/yugioh/images/2/2b/Leogun-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20131221161923,https://yugioh.fandom.com/wiki/Leogun_(FMR)
404,Tatsunootoshigo,Monster,Beast,"Neptune, Mercury",5.0,1350.0,1600.0,https://static.wikia.nocookie.net/yugioh/images/a/a0/Tatsunootoshigo-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20131221161931,https://yugioh.fandom.com/wiki/Tatsunootoshigo_(FMR)
405,Saber Slasher,Monster,Machine,"Moon, Saturn",5.0,1450.0,1500.0,https://static.wikia.nocookie.net/yugioh/images/1/18/SaberSlasher-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20131215203719,https://yugioh.fandom.com/wiki/Saber_Slasher_(FMR)
406,Yaiba Robo,Monster,Machine,"Moon, Uranus",4.0,1000.0,1300.0,https://static.wikia.nocookie.net/yugioh/images/7/78/YaibaRobo-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20131221161935,https://yugioh.fandom.com/wiki/Yaiba_Robo_(FMR)
407,Machine King,Monster,Machine,"Mars, Sun",6.0,2200.0,2000.0,https://static.wikia.nocookie.net/yugioh/images/f/f5/MachineKing-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20131221161924,https://yugioh.fandom.com/wiki/Machine_King_(FMR)
408,Giant Mech-soldier,Monster,Machine,"Moon, Neptune",6.0,1750.0,1900.0,https://static.wikia.nocookie.net/yugioh/images/f/f7/GiantMechsoldier-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20131221161756,https://yugioh.fandom.com/wiki/Giant_Mech-soldier_(FMR)
409,Metal Dragon,Monster,Machine,"Mars, Moon",6.0,1850.0,1700.0,https://static.wikia.nocookie.net/yugioh/images/9/98/MetalDragon-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20131221161926,https://yugioh.fandom.com/wiki/Metal_Dragon_(FMR)
410,Mechanical Spider,Monster,Machine,"Jupiter, Mercury",2.0,400.0,500.0,https://static.wikia.nocookie.net/yugioh/images/c/cf/MechanicalSpider-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20131221161926,https://yugioh.fandom.com/wiki/Mechanical_Spider_(FMR)
411,Bat,Monster,Machine,"Moon, Mercury",1.0,300.0,350.0,https://static.wikia.nocookie.net/yugioh/images/3/30/Bat-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20131221161751,https://yugioh.fandom.com/wiki/Bat_(FMR)
412,Giga-tech Wolf,Monster,Machine,"Jupiter, Uranus",4.0,1200.0,1400.0,https://static.wikia.nocookie.net/yugioh/images/f/f2/GigatechWolf-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20131221161757,https://yugioh.fandom.com/wiki/Giga-tech_Wolf_(FMR)
413,Cyber Soldier,Monster,Machine,"Moon, Mars",5.0,1500.0,1700.0,https://static.wikia.nocookie.net/yugioh/images/8/83/CyberSoldier-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20131221161754,https://yugioh.fandom.com/wiki/Cyber_Soldier_(FMR)
414,Shovel Crusher,Monster,Machine,"Uranus, Neptune",3.0,900.0,1200.0,https://static.wikia.nocookie.net/yugioh/images/5/57/ShovelCrusher-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20131221161929,https://yugioh.fandom.com/wiki/Shovel_Crusher_(FMR)
415,Mechanicalchacer,Monster,Machine,"Moon, Jupiter",4.0,1850.0,800.0,https://static.wikia.nocookie.net/yugioh/images/3/38/Mechanicalchacer-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20131221161925,https://yugioh.fandom.com/wiki/Mechanicalchacer
416,Blocker,Monster,Machine,"Moon, Saturn",4.0,850.0,1800.0,https://static.wikia.nocookie.net/yugioh/images/2/22/Blocker-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20131221161753,https://yugioh.fandom.com/wiki/Blocker_(FMR)
417,Blast Juggler,Monster,Machine,"Mars, Venus",3.0,800.0,900.0,https://static.wikia.nocookie.net/yugioh/images/1/19/BlastJuggler-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20131221161752,https://yugioh.fandom.com/wiki/Blast_Juggler_(FMR)
418,Golgoil,Monster,Machine,"Venus, Neptune",4.0,900.0,1600.0,https://static.wikia.nocookie.net/yugioh/images/c/c5/Golgoil-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20131221161758,https://yugioh.fandom.com/wiki/Golgoil_(FMR)
419,Giganto,Monster,Machine,"Moon, Uranus",5.0,1700.0,1800.0,https://static.wikia.nocookie.net/yugioh/images/4/40/Giganto-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20131221161757,https://yugioh.fandom.com/wiki/Giganto_(FMR)
420,Cyber-Stein,Monster,Machine,"Moon, Neptune",2.0,700.0,500.0,https://static.wikia.nocookie.net/yugioh/images/c/c9/CyberStein-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20131221161755,https://yugioh.fandom.com/wiki/Cyber-Stein_(FMR)
421,Cyber Commander,Monster,Machine,"Moon, Mercury",2.0,750.0,700.0,https://static.wikia.nocookie.net/yugioh/images/d/dc/CyberCommander-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20131221161754,https://yugioh.fandom.com/wiki/Cyber_Commander_(FMR)
422,Jinzo #7,Monster,Machine,"Moon, Mars",2.0,500.0,400.0,https://static.wikia.nocookie.net/yugioh/images/c/c9/Jinzo7-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20131221161800,https://yugioh.fandom.com/wiki/Jinzo_7_(FMR)
423,Dice Armadillo,Monster,Machine,"Jupiter, Pluto",5.0,1650.0,1800.0,https://static.wikia.nocookie.net/yugioh/images/2/2d/DiceArmadillo-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20131221161756,https://yugioh.fandom.com/wiki/Dice_Armadillo_(FMR)
424,Sky Dragon,Monster,Dragon,"Saturn, Uranus",6.0,1900.0,1800.0,https://static.wikia.nocookie.net/yugioh/images/2/2c/SkyDragon-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20131221161929,https://yugioh.fandom.com/wiki/Sky_Dragon_(FMR)
425,Thunder Dragon,Monster,Thunder,"Pluto, Jupiter",5.0,1600.0,1500.0,https://static.wikia.nocookie.net/yugioh/images/e/e1/ThunderDragon-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20131221161931,https://yugioh.fandom.com/wiki/Thunder_Dragon_(FMR)
426,Stone D.,Monster,Rock,"Uranus, Mars",7.0,2000.0,2300.0,https://static.wikia.nocookie.net/yugioh/images/7/78/StoneD-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20131221161930,https://yugioh.fandom.com/wiki/Stone_D._(FMR)
427,Kaiser Dragon,Monster,Dragon,"Sun, Jupiter",7.0,2300.0,2000.0,https://static.wikia.nocookie.net/yugioh/images/f/fc/KaiserDragon-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20131221161800,https://yugioh.fandom.com/wiki/Kaiser_Dragon_(FMR)
428,Magician of Faith,Monster,Spellcaster,"Sun, Saturn",1.0,300.0,400.0,https://static.wikia.nocookie.net/yugioh/images/3/39/MagicianofFaith-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20131221161925,https://yugioh.fandom.com/wiki/Magician_of_Faith_(FMR)
429,Goddess of Whim,Monster,Fairy,"Sun, Uranus",3.0,950.0,700.0,https://static.wikia.nocookie.net/yugioh/images/e/ea/GoddessofWhim-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20131221161758,https://yugioh.fandom.com/wiki/Goddess_of_Whim_(FMR)
430,Water Magician,Monster,Aqua,"Neptune, Mercury",4.0,1400.0,1000.0,https://static.wikia.nocookie.net/yugioh/images/d/de/WaterMagician-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20131221161934,https://yugioh.fandom.com/wiki/Water_Magician_(FMR)
431,Ice Water,Monster,Aqua,"Neptune, Moon",3.0,1150.0,900.0,https://static.wikia.nocookie.net/yugioh/images/6/6f/IceWater-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20131221161759,https://yugioh.fandom.com/wiki/Ice_Water_(FMR)
432,Waterdragon Fairy,Monster,Aqua,"Neptune, Venus",3.0,1100.0,700.0,https://static.wikia.nocookie.net/yugioh/images/7/7a/WaterdragonFairy-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20131221161932,https://yugioh.fandom.com/wiki/Waterdragon_Fairy_(FMR)
433,Ancient Elf,Monster,Spellcaster,"Sun, Pluto",4.0,1450.0,1200.0,https://static.wikia.nocookie.net/yugioh/images/b/b4/AncientElf-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20131221161750,https://yugioh.fandom.com/wiki/Ancient_Elf_(FMR)
434,Beautiful Beast Trainer,Monster,Warrior,"Jupiter, Neptune",5.0,1750.0,1500.0,https://static.wikia.nocookie.net/yugioh/images/b/bf/BeautifulBeastTrainer-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20131221161752,https://yugioh.fandom.com/wiki/Beautiful_Beast_Trainer_(FMR)
435,Water Girl,Monster,Aqua,"Neptune, Venus",4.0,1250.0,1000.0,https://static.wikia.nocookie.net/yugioh/images/5/52/WaterGirl-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20131221161933,https://yugioh.fandom.com/wiki/Water_Girl_(FMR)
436,White Dolphin,Monster,Fish,"Neptune, Jupiter",2.0,500.0,400.0,https://static.wikia.nocookie.net/yugioh/images/3/35/WhiteDolphin-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20131221161934,https://yugioh.fandom.com/wiki/White_Dolphin_(FMR)
437,Deepsea Shark,Monster,Fish,"Neptune, Mars",5.0,1900.0,1600.0,https://static.wikia.nocookie.net/yugioh/images/e/ea/DeepseaShark-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20131221161755,https://yugioh.fandom.com/wiki/Deepsea_Shark_(FMR)
438,Metal Fish,Monster,Machine,"Neptune, Saturn",5.0,1600.0,1900.0,https://static.wikia.nocookie.net/yugioh/images/9/90/MetalFish-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20131221161927,https://yugioh.fandom.com/wiki/Metal_Fish_(FMR)
439,Bottom Dweller,Monster,Fish,"Neptune, Sun",5.0,1650.0,1700.0,https://static.wikia.nocookie.net/yugioh/images/c/cd/BottomDweller-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20131221161753,https://yugioh.fandom.com/wiki/Bottom_Dweller_(FMR)
440,7 Colored Fish,Monster,Fish,"Neptune, Sun",4.0,1800.0,800.0,https://static.wikia.nocookie.net/yugioh/images/7/7b/7ColoredFish-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20131221161750,https://yugioh.fandom.com/wiki/7_Colored_Fish_(FMR)
441,Mech Bass,Monster,Machine,"Neptune, Venus",5.0,1800.0,1500.0,https://static.wikia.nocookie.net/yugioh/images/e/eb/MechBass-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20131221163955,https://yugioh.fandom.com/wiki/Mech_Bass_(FMR)
442,Aqua Dragon,Monster,Sea Serpent,"Neptune, Moon",6.0,2250.0,1900.0,https://static.wikia.nocookie.net/yugioh/images/0/08/AquaDragon-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20131221163948,https://yugioh.fandom.com/wiki/Aqua_Dragon_(FMR)
443,Sea King Dragon,Monster,Sea Serpent,"Neptune, Mercury",6.0,2000.0,1700.0,https://static.wikia.nocookie.net/yugioh/images/6/62/SeaKingDragon-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20131221163957,https://yugioh.fandom.com/wiki/Sea_King_Dragon_(FMR)
444,Turu-Purun,Monster,Aqua,"Neptune, Jupiter",2.0,450.0,500.0,https://static.wikia.nocookie.net/yugioh/images/d/d0/TuruPurun-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20131221164001,https://yugioh.fandom.com/wiki/Turu-Purun_(FMR)
445,Guardian of the Sea,Monster,Aqua,"Neptune, Mars",4.0,1300.0,1000.0,https://static.wikia.nocookie.net/yugioh/images/9/9a/GuardianoftheSea-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20131221163951,https://yugioh.fandom.com/wiki/Guardian_of_the_Sea_(FMR)
446,Aqua Snake,Monster,Aqua,"Neptune, Saturn",3.0,1050.0,900.0,https://static.wikia.nocookie.net/yugioh/images/b/ba/AquaSnake-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20131221163948,https://yugioh.fandom.com/wiki/Aqua_Snake_(FMR)
447,Giant Red Seasnake,Monster,Aqua,"Neptune, Sun",4.0,1800.0,800.0,https://static.wikia.nocookie.net/yugioh/images/e/e8/GiantRedSeasnake-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20131221163951,https://yugioh.fandom.com/wiki/Giant_Red_Seasnake_(FMR)
448,Spike Seadra,Monster,Sea Serpent,"Pluto, Mercury",5.0,1600.0,1300.0,https://static.wikia.nocookie.net/yugioh/images/b/bd/SpikeSeadra-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20131221163958,https://yugioh.fandom.com/wiki/Spike_Seadra_(FMR)
449,"30,000-Year White Turtle",Monster,Aqua,"Neptune, Moon",5.0,1250.0,2100.0,https://static.wikia.nocookie.net/yugioh/images/7/7d/30000YearWhiteTurtle-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20131221163947,"https://yugioh.fandom.com/wiki/30,000-Year_White_Turtle_(FMR)"
450,Kappa Avenger,Monster,Aqua,"Neptune, Venus",3.0,1200.0,900.0,https://static.wikia.nocookie.net/yugioh/images/2/26/KappaAvenger-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20131221163954,https://yugioh.fandom.com/wiki/Kappa_Avenger_(FMR)
451,Kanikabuto,Monster,Aqua,"Neptune, Saturn",3.0,650.0,900.0,https://static.wikia.nocookie.net/yugioh/images/d/de/Kanikabuto-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20131221163953,https://yugioh.fandom.com/wiki/Kanikabuto_(FMR)
452,Zarigun,Monster,Aqua,"Neptune, Mercury",2.0,600.0,700.0,https://static.wikia.nocookie.net/yugioh/images/b/b9/Zarigun-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20131221164002,https://yugioh.fandom.com/wiki/Zarigun_(FMR)
453,Millennium Golem,Monster,Rock,"Uranus, Jupiter",6.0,2000.0,2200.0,https://static.wikia.nocookie.net/yugioh/images/7/7a/MillenniumGolem-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20131221163955,https://yugioh.fandom.com/wiki/Millennium_Golem_(FMR)
454,Destroyer Golem,Monster,Rock,"Uranus, Sun",4.0,1500.0,1000.0,https://static.wikia.nocookie.net/yugioh/images/2/2b/DestroyerGolem-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20131221163950,https://yugioh.fandom.com/wiki/Destroyer_Golem_(FMR)
455,Barrel Rock,Monster,Rock,"Uranus, Moon",4.0,1000.0,1300.0,https://static.wikia.nocookie.net/yugioh/images/f/f4/BarrelRock-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20131221163949,https://yugioh.fandom.com/wiki/Barrel_Rock_(FMR)
